Date,DateType,Reason
01/13/2017 00:00:00,Rain,Missing
01/14/2017 00:00:00,Rain,Missing
01/15/2017 00:00:00,Rain,Missing
01/16/2017 00:00:00,Rain,Missing
01/17/2017 00:00:00,Rain,Missing
01/18/2017 00:00:00,Rain,Missing
01/19/2017 00:00:00,Rain,Missing
01/20/2017 00:00:00,Rain,Missing
01/21/2017 00:00:00,Rain,Missing
01/22/2017 00:00:00,Rain,Missing
01/23/2017 00:00:00,Rain,Missing
01/24/2017 00:00:00,Rain,Missing
01/25/2017 00:00:00,Rain,Missing
01/26/2017 00:00:00,Rain,Missing
01/27/2017 00:00:00,Rain,Missing
01/28/2017 00:00:00,Rain,Missing
01/29/2017 00:00:00,Rain,Missing
01/30/2017 00:00:00,Rain,Missing
01/31/2017 00:00:00,Rain,Missing
02/01/2017 00:00:00,Rain,Missing
02/02/2017 00:00:00,Rain,Missing
02/03/2017 00:00:00,Rain,Missing
02/04/2017 00:00:00,Rain,Missing
02/05/2017 00:00:00,Rain,Missing
02/06/2017 00:00:00,Rain,Missing
02/07/2017 00:00:00,Rain,Missing
02/08/2017 00:00:00,Rain,Missing
02/09/2017 00:00:00,Rain,Missing
02/10/2017 00:00:00,Rain,Missing
02/11/2017 00:00:00,Rain,Missing
02/12/2017 00:00:00,Rain,Missing
02/13/2017 00:00:00,Rain,Missing
02/14/2017 00:00:00,Rain,Missing
02/15/2017 00:00:00,Rain,Missing
02/16/2017 00:00:00,Rain,Missing
02/17/2017 00:00:00,Rain,Missing
02/18/2017 00:00:00,Rain,Missing
02/19/2017 00:00:00,Rain,Missing
02/20/2017 00:00:00,Rain,Missing
02/21/2017 00:00:00,Rain,Missing
02/22/2017 00:00:00,Rain,Missing
02/23/2017 00:00:00,Rain,Missing
02/24/2017 00:00:00,Rain,Missing
02/25/2017 00:00:00,Rain,Missing
02/26/2017 00:00:00,Rain,Missing
02/27/2017 00:00:00,Rain,Missing
02/28/2017 00:00:00,Rain,Missing
03/01/2017 00:00:00,Rain,Missing
03/02/2017 00:00:00,Rain,Missing
03/03/2017 00:00:00,Rain,Missing
03/04/2017 00:00:00,Rain,Missing
03/05/2017 00:00:00,Rain,Missing
03/06/2017 00:00:00,Rain,Missing
03/07/2017 00:00:00,Rain,Missing
03/08/2017 00:00:00,Rain,Missing
03/09/2017 00:00:00,Rain,Missing
03/10/2017 00:00:00,Rain,Missing
03/11/2017 00:00:00,Rain,Missing
03/12/2017 00:00:00,Rain,Missing
03/13/2017 00:00:00,Rain,Missing
03/14/2017 00:00:00,Rain,Missing
03/15/2017 00:00:00,Rain,Missing
03/16/2017 00:00:00,Rain,Missing
03/17/2017 00:00:00,Rain,Missing
03/18/2017 00:00:00,Rain,Missing
03/19/2017 00:00:00,Rain,Missing
03/20/2017 00:00:00,Rain,Missing
03/21/2017 00:00:00,Rain,Missing
03/22/2017 00:00:00,Rain,Missing
03/23/2017 00:00:00,Rain,Missing
03/24/2017 00:00:00,Rain,Missing
03/25/2017 00:00:00,Rain,Missing
03/26/2017 00:00:00,Rain,Missing
03/27/2017 00:00:00,Rain,Missing
03/28/2017 00:00:00,Rain,Missing
03/29/2017 00:00:00,Rain,Missing
03/30/2017 00:00:00,Rain,Missing
03/31/2017 00:00:00,Rain,Missing
04/01/2017 00:00:00,Rain,Missing
04/02/2017 00:00:00,Rain,Missing
04/03/2017 00:00:00,Rain,Missing
04/04/2017 00:00:00,Rain,Missing
04/05/2017 00:00:00,Rain,Missing
04/06/2017 00:00:00,Rain,Missing
04/07/2017 00:00:00,Rain,Missing
04/08/2017 00:00:00,Rain,Missing
04/09/2017 00:00:00,Rain,Missing
04/10/2017 00:00:00,Rain,Missing
04/11/2017 00:00:00,Rain,Missing
04/12/2017 00:00:00,Rain,Missing
04/13/2017 00:00:00,Rain,Missing
04/14/2017 00:00:00,Rain,Missing
04/15/2017 00:00:00,Rain,Missing
04/16/2017 00:00:00,Rain,Missing
04/17/2017 00:00:00,Rain,Missing
04/18/2017 00:00:00,Rain,Missing
04/19/2017 00:00:00,Rain,Missing
04/20/2017 00:00:00,Rain,Missing
04/21/2017 00:00:00,Rain,Missing
04/22/2017 00:00:00,Rain,Missing
04/23/2017 00:00:00,Rain,Missing
04/24/2017 00:00:00,Rain,Missing
04/25/2017 00:00:00,Rain,Missing
04/26/2017 00:00:00,Rain,Missing
04/27/2017 00:00:00,Rain,Missing
04/28/2017 00:00:00,Rain,Missing
04/29/2017 00:00:00,Rain,Missing
04/30/2017 00:00:00,Rain,Missing
05/01/2017 00:00:00,Rain,Missing
05/02/2017 00:00:00,Rain,Missing
05/03/2017 00:00:00,Rain,Missing
05/04/2017 00:00:00,Rain,Missing
05/05/2017 00:00:00,Rain,Missing
05/06/2017 00:00:00,Rain,Missing
05/07/2017 00:00:00,Rain,Missing
05/08/2017 00:00:00,Rain,Missing
05/09/2017 00:00:00,Rain,Missing
05/10/2017 00:00:00,Rain,Missing
05/11/2017 00:00:00,Rain,Missing
05/12/2017 00:00:00,Rain,Missing
05/13/2017 00:00:00,Rain,Missing
05/14/2017 00:00:00,Rain,Missing
05/15/2017 00:00:00,Rain,Missing
05/16/2017 00:00:00,Rain,Missing
05/17/2017 00:00:00,Rain,Missing
05/18/2017 00:00:00,Rain,Missing
05/19/2017 00:00:00,Rain,Missing
05/20/2017 00:00:00,Rain,Missing
05/21/2017 00:00:00,Rain,Missing
05/22/2017 00:00:00,Rain,Missing
05/23/2017 00:00:00,Rain,Missing
05/24/2017 00:00:00,Rain,Missing
05/25/2017 00:00:00,Rain,Missing
05/26/2017 00:00:00,Rain,Missing
05/27/2017 00:00:00,Rain,Missing
05/28/2017 00:00:00,Rain,Missing
05/29/2017 00:00:00,Rain,Missing
05/30/2017 00:00:00,Rain,Missing
05/31/2017 00:00:00,Rain,Missing
06/01/2017 00:00:00,Rain,Missing
06/02/2017 00:00:00,Rain,Missing
